Acompanhamento por Destinação de Recursos - Gerado em  20/10/2019 01:42:53

Código do Ativo	Data de Registro CVM	Emissor	Destinação de Recursos	Volume	Moeda	Situação	
PANA13    	13/01/2006	PAN ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	250.000.000,00	R$	Exc.
PDGR11    	17/12/1991	PERDIGAO AGROINDUSTRIAL S/A	Aquisição de Bens para Arrendamento	8.068.000.068,96	Cr$	Exc.
PLAM13    	22/06/1995	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	120.000.000,00	R$	Exc.
PLAM14    	08/07/1996	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
PLAM15    	11/09/1996	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	150.000.000,00	R$	Exc.
PLAM16    	03/12/1996	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	100.000.000,00	R$	Exc.
PLAM17    	06/10/1998	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	150.000.000,00	R$	Exc.
PLAM23    	22/06/1995	PONTUAL LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
PNAM12    	05/02/2003	PAN ARRENDAMENTO MERCANTIL S/A	Aquisição de Bens para Arrendamento	150.000.000,00	R$	Exc.
RRSP11    	16/01/2001	RRSPE EMPREENDIMENTOS E PARTICIPACOES SA	Aquisição de Bens para Arrendamento	34.060.000,00	R$	Exc.
RSON11    	21/11/1997	REASON S/A COMERCIAL, IMPORTADORA E EXPORTADORA	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
SAFL11    	21/09/1993	SAFRA LEASING S/A ARREND MERCANTIL	Aquisição de Bens para Arrendamento	11.150.000.000.000,00	CR$	Exc.
STBA11    	27/07/2005	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	400,00	R$	Reg.
SUAM12    	01/11/1991	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	4.000.000.000,00	Cr$	Exc.
SUAM13    	26/04/1995	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	25.000.000,00	R$	Exc.
SUAM22    	17/01/1992	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	3.700.000.000,00	Cr$	Exc.
SUAM23    	26/04/1995	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	17.000.000,00	R$	Exc.
SUAM32    	07/03/1992	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	5.300.000.000,00	Cr$	Exc.
SUAM33    	26/04/1995	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	18.000.000,00	R$	Exc.
SUAM43    	26/04/1995	SANTANDER LEASING S/A ARRENDAMENTO MERCANTIL	Aquisição de Bens para Arrendamento	40.000.000,00	R$	Exc.
UNTL11    	08/12/1995	CREFISUL LEASING S/A ARREND. MERCANTIL	Aquisição de Bens para Arrendamento	10.000.000,00	R$	Exc.
UNTL12    	08/08/1997	CREFISUL LEASING S/A ARREND. MERCANTIL	Aquisição de Bens para Arrendamento	50.000.000,00	R$	Exc.
